date,time,session,theme,room,titles,presenters
10/20/24,0800-1700,Thursday's Registration / Info,,Room TBD,,
10/20/24,0800-0945,Workshops,,W1 - Room TBD,How To Use Mass-Market AI In Qualitative Data Analysis,Kristine Acosta and Luke Thominet
10/20/24,0800-0945,Workshops,,W2 - Room TBD,"AI Life Cycle As A Methodology To Open The Black Box Of Automated Resume Screening: Teaching Resume 2.0 With Job Posting Analytics, Resume Analytics, And Computational Corpus-Driven Job-Resume Matching",Huiling Ding
10/20/24,0800-0945,Workshops,,W3 - Room TBD,"""Does SIGDOC Need A New Logo?"": An Exploration Of Visual Rhetoric, Ethics, And Identity",Chris Lindgren and Dan Richards
10/20/24,1015-1115,Session 1,User Stories & Health,1A Room TBD,Exploring Divergent Healthcare Practices and Emerging Technologies through DIY Fecal Microbiota Transplants,Molly Kessler
10/20/24,1015-1115,Session 1,User Stories & Health,1A Room TBD,Popularizing Health Information/Literacy through Humorous Storytelling in Digitally Mediated Health and Risk Messaging: A Case Study of Videos from Aprokodoctor,Tochukwu Ngwu
10/20/24,1015-1115,Session 1,User Stories & Health,1A Room TBD,Pulse and Persuasion: Analyzing User Stories in Artificial Heart Marketing,Laura Roberts and Luukas Palm-Leis
10/20/24,1015-1115,Session 1,User Stories & Health,1A Room TBD,Identifying Power Assemblages in Transnational Institutional Maternal Nutrition Content-Creation Spaces,Priyanka Ganguly
10/20/24,1015-1115,Session 1,"Tech, Users, & Justice",1B Room TBD,"A Research Ensemble of Humans, Machines, and Algorithms: Future Designs of Research and Scholarly Communication",Michael Salvo and John Sherrill
10/20/24,1015-1115,Session 1,"Tech, Users, & Justice",1B Room TBD,Navigating Immigration as an Alien: A Critical Interface Analysis of the US Citizenship and Immigration Services,"Jianfen Chen, Shyam Pandey, and Sweta Baniya"
10/20/24,1015-1115,Session 1,"Tech, Users, & Justice",1B Room TBD,Considering Inequity and Justice in/for the Design of AI Risk Detection Technologies,Timothy Amidon and Donnie Johnson Sackey
10/20/24,1015-1115,Session 1,The History of Technical Communication and the Future of Generative AI,1C Room TBD,The History of Technical Communication and the Future of Generative AI,"Mike Ristich, Casey McArdle, Liza Potts, and Bill Hart-Davidson,"
10/20/24,1015-1115,Session 1,Helping or Hurting? Challenges and Opportunities in Integrating Emerging A.I. Technologies into a Professional Writing Program,1D Room TBD,Helping or Hurting? Challenges and Opportunities in Integrating Emerging A.I. Technologies into a Professional Writing Program,"Teresa Cook, Laura Wilson, and Lora Anderson"
10/20/24,1115-1215,Welcome & Keynote,,TBD,Keynote TBA,
10/20/24,1215-0115,Lunch (On Your Own),,TBD,Enjoy some downtime with your colleagues,
10/20/24,1330-1445,Poster Sessions,,Main Program - Room TBD,Creating Open-Access Augmented Reality Experiences,"Madison Jones, Leah Heilig and Aidan Donnellan"
10/20/24,1330-1445,Poster Sessions,,Main Program - Room TBD,"Inviting ChatGPT into Technical Writing Classes: Opportunities, Challenges, and Student Perceptions",Imari Cheyne Tetu
10/20/24,1330-1445,Poster Sessions,,Main Program - Room TBD,From the Grounds Up: A Case of Technical Communication and Coffee Roasting,Heather Turner and Mathew Gomes
10/20/24,1330-1445,Poster Sessions,,Main Program - Room TBD,Biden's Puppet and McConnell's Prot'g': Manipulative Political Communication Design in the 2023 Kentucky Governor's Race,Ryan Cheek and Samuel Allen
10/20/24,1330-1445,Poster Sessions,,Main Program - Room TBD,Creating Platforms of Resilience Towards a Caring Democracy,Huatong Sun and Xiaoli Li
10/20/24,1330-1445,Poster Sessions,,Main Program - Room TBD,Discipline-Driven AI: Training a GPT to Qualitatively Code for Technical and Professional Communication Research,"Mark Hannah, Heidi Willers and Amber Hedquist"
10/20/24,1330-1445,Poster Sessions,,UG SRC - Room TBD,Google Explore App: UX Redesign,"Katie Bingham, Olivia Colton, and Maya Higley"
10/20/24,1330-1445,Poster Sessions,,UG SRC - Room TBD,Using Collaborative Coding to Study How Research Teams Coordinate Work,Sarah Buwick and Naomi Islas
10/20/24,1330-1445,Poster Sessions,,UG SRC - Room TBD,Resisting AI Monopsonies: How Technical Communicators Can Articulate Protocols of Change,Cole Driggs
10/20/24,1330-1445,Poster Sessions,,UG SRC - Room TBD,Discover Live Music with Music512: Developing a User-friendly Concert Discovery App,Sophia Guild
10/20/24,1330-1445,Poster Sessions,,UG SRC - Room TBD,Gender Inequality: Using 'Serious Games' as an Educational Tool for Advocacy,Jocelyn Le
10/20/24,1330-1445,Poster Sessions,,UG SRC - Room TBD,A Queer Student Support System: Using Technical Communication to Promote Social Justice on Campus,Erik Mendenhall
10/20/24,1330-1445,Poster Sessions,,UG SRC - Room TBD,Tell Me if You Like It: Dissecting Design Collaboration Between Students and Clients for Technical Projects,Natasha Valluri
10/20/24,1330-1445,Poster Sessions,,G SRC - Room TBD,Leveraging Visual Rhetoric in Python Programming: Enhancing Technical Communication through Pedagogical Strategies and Design Principles,Ma-aruf Al-hassan
10/20/24,1330-1445,Poster Sessions,,G SRC - Room TBD,Essential Escapism through Progress Simulation: Animal Crossing New Horizons' Temporal Design,Jessica Borsi
10/20/24,1330-1445,Poster Sessions,,G SRC - Room TBD,How Can Invitational Rhetoric Be Introduced to Crisis Communication as a Lens for Diplomacy in the Anthropocene? A Case Study,Megan Bronson
10/20/24,1330-1445,Poster Sessions,,G SRC - Room TBD,From the Lab into the Public Sphere: Analyzing How Experts Communicate the Value of Stem Cell Research,Rebecca Felter
10/20/24,1330-1445,Poster Sessions,,G SRC - Room TBD,Terms of Service & Community Guidelines as 'Value-Laden' Documents: An (adapted) CADA analysis of 'sexual content',Rachael Jordan
10/20/24,1330-1445,Poster Sessions,,G SRC - Room TBD,Optimizing the Grant Writing Process: A Framework for Creating a Grant Writing Assistant Using ChatGPT 4,Benjamin Kasierski and Emma Fagnano
10/20/24,1330-1445,Poster Sessions,,G SRC - Room TBD,EDGE (Elder's Delightful Gaming Experience) Web-Platform Development with Older Adults' Preferences,Jae Won Lee
10/20/24,1330-1445,Poster Sessions,,G SRC - Room TBD,Triangulating Climate Crisis Responsibility in Digital Spaces: Structured Topic Modeling and Rhetorical Constellations on r/recycling and r/composting,Maddi Melchert
10/20/24,1330-1445,Poster Sessions,,G SRC - Room TBD,Haunting Evidence: Mapping Activity Systems in Paranormal Investigation Communities,Alison Obright
10/20/24,1330-1445,Poster Sessions,,G SRC - Room TBD,Tracking Health and Bodies: A Visual Analysis of the Apple Health Interface,Jessica Remcheck
10/20/24,1400-1500,Session 2,Access & Ethics,2A - Room TBD,"Compliance, Commitment, and Web Accessibility: Findings of an Organizational Study Engaging Accessibility Experts at Twenty U.S. Universities",Sushil K. Oswal and Zsuzsanna B. Palmer
