date,time,session,theme,room,presenters,titles,moderator,remote,remote_url,ignite,ignite_url,keynote,keynote_url
10/9/25,1400-1600,Online Workshop,,Online,"Rebecca Schneider, Avenue CX",Taxonomy 101: Creating useful taxonomies for your organization ,,TRUE,https://sigdoc.acm.org/conference/2025/program/workshops/,FALSE,,FALSE,
10/24/25,0745-1130,Registration,,SUB Courtyard,,"Retrieve your name badge and program, or seek help and ask questions.",,FALSE,,FALSE,,FALSE,
10/24/25,0800-0820,Welcome,,SUB Senate (125),,Welcome!,,FALSE,,FALSE,,FALSE,
10/24/25,0830-0930,Session 1,,Lubbock (124),"Mike Ristich, Liza Potts, Casey McArdle and Imari Tetu",Artificial Intelligence and Rhetoric: Investigating Contextual Influence on Technological Design,,FALSE,,FALSE,,FALSE,
10/24/25,0830-0930,Session 1,,Playa (213),"Anuj Gupta, Lance Cummings, Christine Masters-Wheeler and Nupoor Ranade",Mapping the emerging rhetorical landscape of AI prompt engineering,,FALSE,,FALSE,,FALSE,
10/24/25,0830-0930,Session 1,,Mesa (217),"Beth Shirley, Hannah Christiaens and Brianna Routh","Educating digital, rhetorically engaged “community intellectuals”: A service-learning partnership with Extension to develop safe social media engagement with food preservation",Kathie Gossett,FALSE,,FALSE,,FALSE,
10/24/25,0830-0930,Session 1,,Mesa (217),Tochukwu Ngwu,After the Competition: Retrofitting 3MTs as Public-facing Communication of Disciplinary Knowledge to Promote Microlearning in the Digital Age,Kathie Gossett,FALSE,,FALSE,,FALSE,
10/24/25,0830-0930,Session 1,,Mesa (217),Michael Salvo and John Sherrill,Design of Future Scholarly Communication,Kathie Gossett,FALSE,,FALSE,,FALSE,
10/24/25,0830-0930,Session 1,,Mesa (217),Margaret Hsiao,Designing Power: A Comparative Analysis of the White House Websites Under Presidents Biden and Trump,Kathie Gossett,FALSE,,FALSE,,FALSE,
10/24/25,0830-0930,Session 1,,Canyon (218),"Sonia Stephens	",Understanding the Real-World Use of AI-Assisted Identification Tools in Nature Identification Apps,Heather Turner,FALSE,,FALSE,,FALSE,
10/24/25,0830-0930,Session 1,,Canyon (218),Jia Liu,AI-Powered Automated and Remote UX Evaluation Methods: A Systematic Literature Review,Heather Turner,FALSE,,FALSE,,FALSE,
10/24/25,0830-0930,Session 1,,Canyon (218),Sarah Young,"Before Its Effects: Embedding an Ethics of Care, Trust, and Empathy into the Design of AI",Heather Turner,FALSE,,FALSE,,FALSE,
10/24/25,0830-0930,Session 1,,Traditions (233),Amelia Hill and Jennifer Mallette,"The Complexity of a Simple Code Comment: Genre Conventions, Social Influence, and Rhetorical Functions",McKinley Green,FALSE,,FALSE,,FALSE,
10/24/25,0830-0930,Session 1,,Traditions (233),Nancy Jarvis,How Emotional Intelligence Drives Success: Its Impact on Technical Communication and Project Management,McKinley Green,FALSE,,FALSE,,FALSE,
10/24/25,0830-0930,Session 1,,Traditions (233),Caitlin Baulch and Dan Card,What does it mean to be an expert?: Working towards a shared definition of expertise in TPC,McKinley Green,FALSE,,FALSE,,FALSE,
10/24/25,0830-0930,Session 1,,Traditions (233),Jeffrey Bacha,Understanding the role of Information Design in Social Change by Producing Zine-Style Publications,McKinley Green,FALSE,,FALSE,,FALSE,
10/24/25,0945-1045,Session 2,,Lubbock (124),"Rachael Jordan, Josephine Walwema, Steve Holmes and Jared Colton","Ethics Scholarship in TPC: Problems, Opportunities, & Implications",,FALSE,,FALSE,,FALSE,
